rank,character,guild,server,region,dps,ilvl,duration_s,crit,haste,mastery,vers,report_id,fight_id,source_id,world_tender_count,world_tender_2p,world_tender_slots,world_tender_names,arcanoweave_bonus_count,arcanoweave_bonus_slots,arcanoweave_bonus_names,arcanoweave_source,arcanoweave_source_events,arcanoweave_self_events,arcanoweave_received_events,embellished_8791_count,embellished_8791_slots,embellished_8791_names,crafted_8960_count,crafted_8960_names,tier_count,tier_slots,tier_chest,tier_shoulder,chest_item,shoulder_item,belt_item,boots_item,wrist_item,back_item,ring1_item,ring2_item,strategy,gear_ids
67,Багманчик,У беляша,Ревущий фьорд,EU,155886.51307204,290.0,517.249,884,572,1458,75,JQmxgzZ2379BwMH1,49,265,2,True,belt;boots,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",0,,,False,0,0,4,0,,,2,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","World Tender's Barkclasp (244611, 285)","World Tender's Rootslippers (244610, 285)","Fallen King's Cuffs (249304, 289)","Draconic Nullcape (249370, 289)","Bond of Light (249369, 289)","Occlusion of Void (251217, 289)",world_tender_2p,249988;250247;249318;249991;244611;249987;244610;249304;249989;249369;251217;249806;249343;249370;251095
68,抹茶毛巾卷,,格瑞姆巴托,CN,155880.06774215,290.0,551.503,1225,686,765,0,nBPm42r1YkRKhyqW,46,506,0,False,,,0,,,False,0,0,26,1,wrist,"Farstrider's Plated Bracers (244584, 285)",2,"Farstrider's Plated Bracers (244584, 285);Loa Worshiper's Band (251513, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Scaled Commencement Spaulders (193704, 289)","Primal Sentry's Cinch (249985, 289)","Primal Sentry's Swiftsteps (249990, 289)","Farstrider's Plated Bracers (244584, 285)","Rigid Scale Greatcloak (258575, 289)","Occlusion of Void (251217, 289)","Loa Worshiper's Band (251513, 285)",other_or_unclassified,249988;240950;193704;98092;249991;249985;249987;249990;244584;249989;251217;251513;249343;193701;258575;251095;198730
69,归路晚风清,,白银之手,CN,155868.18005328,289.0,553.725,723,597,1647,0,CK2NR3DraAZmy4px,131,1043,0,False,,,2,wrist;back,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",True,67,31,38,2,wrist;back,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",2,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Scornbane Waistguard (249371, 289)","Primal Sentry's Swiftsteps (249990, 289)","Farstrider's Plated Bracers (244584, 285)","Adherent's Silken Shroud (239656, 285)","Vibrant Wilderloop (249620, 276)","Masterwork Sin'dorei Band (240949, 285)",arcanoweave_2x,249988;250247;249318;249991;249371;249987;249990;244584;249989;249620;240949;249806;249343;239656;249279
70,Snipedaf,Midnights,Illidan,US,155825.06052923,291.0,524.953,754,746,1261,0,Kbmkx2AnWZh7j4VY,7,9,0,False,,,2,wrist;back,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",True,63,33,64,2,wrist;back,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",2,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Primal Sentry's Cinch (249985, 289)","Grudgefiend Stompers (268287, 298)","Farstrider's Plated Bracers (244584, 285)","Adherent's Silken Shroud (239656, 285)","Eye of Midnight (249920, 289)","Bond of Light (249369, 289)",arcanoweave_2x,249988;268291;249318;268274;249991;249985;249987;268287;244584;249989;249920;249369;193701;249343;239656;249279;45574
71,Sparklen,Exposed,Drak'thul,EU,155779.36820962,291.0,547.65,958,729,1031,16,kVrbdq6AxvFWZHwJ,6,200,0,False,,,2,wrist;back,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",True,51,27,52,2,wrist;back,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",2,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Scornbane Waistguard (249371, 289)","Grudgefiend Stompers (268287, 298)","Farstrider's Plated Bracers (244584, 285)","Adherent's Silken Shroud (239656, 285)","Sin'dorei Band of Hope (249919, 289)","Eye of Midnight (249920, 289)",arcanoweave_2x,249988;250247;249318;52019;249991;249371;249987;268287;244584;249989;249919;249920;193701;249343;239656;249288
73,恒河沙,,凤凰之神,CN,155638.3899203,289.0,577.636,1012,601,1311,32,c4pmPBXD7ANKHdvW,28,503,0,False,,,1,wrist,"Farstrider's Plated Bracers (244584, 285)",True,57,32,38,2,neck;wrist,"Masterwork Sin'dorei Amulet (240950, 285);Farstrider's Plated Bracers (244584, 285)",2,"Farstrider's Plated Bracers (244584, 285);Loa Worshiper's Band (251513, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Scornbane Waistguard (249371, 289)","Primal Sentry's Swiftsteps (249990, 289)","Farstrider's Plated Bracers (244584, 285)","Imperator's Banner (249335, 289)","Loa Worshiper's Band (251513, 285)","Bond of Light (249369, 289)",arcanoweave_1x_or_mixed,249988;240950;249318;268274;249991;249371;249987;249990;244584;249989;251513;249369;249806;249343;249335;49813
74,用素描画的钟,iuiuiuiui,凤凰之神,CN,155597.51629169,290.0,564.398,573,898,1541,32,ByPWVHNCbwLktxza,17,7,0,False,,,2,boots;wrist,"Farstrider's Razor Talons (244577, 285);Farstrider's Plated Bracers (244584, 285)",True,73,34,46,0,,,2,"Farstrider's Razor Talons (244577, 285);Farstrider's Plated Bracers (244584, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Primal Sentry's Cinch (249985, 289)","Farstrider's Razor Talons (244577, 285)","Farstrider's Plated Bracers (244584, 285)","Imperator's Banner (249335, 289)","Bond of Light (249369, 289)","Eye of Midnight (249920, 289)",arcanoweave_2x,249988;250247;249318;249991;249985;249987;244577;244584;249989;249369;249920;249343;249806;249335;249279
75,歪逼芭啵,,凤凰之神,CN,155541.60597372,291.0,586.971,961,690,1405,0,MGPqyWdY8tzZmpKR,479,5595,0,False,,,2,boots;wrist,"Farstrider's Razor Talons (244577, 285);Farstrider's Plated Bracers (244584, 285)",True,76,42,60,2,boots;wrist,"Farstrider's Razor Talons (244577, 285);Farstrider's Plated Bracers (244584, 285)",2,"Farstrider's Razor Talons (244577, 285);Farstrider's Plated Bracers (244584, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Primal Sentry's Cinch (249985, 289)","Farstrider's Razor Talons (244577, 285)","Farstrider's Plated Bracers (244584, 285)","Rigid Scale Greatcloak (258575, 289)","Sin'dorei Band of Hope (249919, 289)","Sporecaller's Blooming Loop (268290, 298)",arcanoweave_2x,249988;250247;249318;249991;249985;249987;244577;244584;249989;249919;268290;249343;249806;258575;249279
76,浪里马性呢,,血色十字军,CN,155477.76449952,291.0,558.139,1348,384,987,0,64DCpP9c8KJRqmGT,84,1083,0,False,,,2,belt;back,"Farstrider's Trophy Belt (244581, 285);Adherent's Silken Shroud (239656, 285)",True,60,28,51,2,belt;back,"Farstrider's Trophy Belt (244581, 285);Adherent's Silken Shroud (239656, 285)",2,"Farstrider's Trophy Belt (244581, 285);Adherent's Silken Shroud (239656, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Scaled Commencement Spaulders (193704, 289)","Farstrider's Trophy Belt (244581, 285)","Primal Sentry's Swiftsteps (249990, 289)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)","Sin'dorei Band of Hope (249919, 289)","Platinum Star Band (193708, 289)",arcanoweave_2x,249988;249337;193704;268274;249991;244581;249987;249990;249304;249989;249919;193708;249343;193701;239656;249279;233290
77,Person,,国王之谷,CN,155412.28235425,290.0,573.294,820,852,1037,16,VvQbDdMzq4Lckjag,13,23,0,False,,,2,belt;boots,"Farstrider's Trophy Belt (244581, 285);Farstrider's Razor Talons (244577, 285)",True,79,39,47,3,belt;boots;ring2,"Farstrider's Trophy Belt (244581, 285);Farstrider's Razor Talons (244577, 285);Masterwork Sin'dorei Band (240949, 285)",2,"Farstrider's Trophy Belt (244581, 285);Farstrider's Razor Talons (244577, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Farstrider's Trophy Belt (244581, 285)","Farstrider's Razor Talons (244577, 285)","Fallen King's Cuffs (249304, 289)","Draconic Nullcape (249370, 289)","Eye of Midnight (249920, 289)","Masterwork Sin'dorei Band (240949, 285)",arcanoweave_2x,249988;268291;249318;249991;244581;249987;244577;249304;249989;249920;240949;249343;193701;249370;249279
79,小南一号,,安苏,CN,155349.55480142,289.0,551.327,698,716,1606,0,dHtMF9R3fZvmYVkG,47,64,0,False,,,2,belt;back,"Farstrider's Trophy Belt (244581, 285);Adherent's Silken Shroud (239656, 285)",True,69,32,68,2,belt;back,"Farstrider's Trophy Belt (244581, 285);Adherent's Silken Shroud (239656, 285)",2,"Farstrider's Trophy Belt (244581, 285);Adherent's Silken Shroud (239656, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Spaulders of Arrow's Flight (251097, 289)","Farstrider's Trophy Belt (244581, 285)","Darkstrider Treads (249377, 289)","Amberfrond Bracers (251079, 289)","Adherent's Silken Shroud (239656, 285)","Bond of Light (249369, 282)","Eye of Midnight (249920, 289)",arcanoweave_2x,249988;268291;251097;268274;249991;244581;249987;249377;251079;249989;249369;249920;249806;249343;239656;249279
80,各自有路走,iuiuiuiui,凤凰之神,CN,155317.94885963,290.0,579.112,672,820,1474,58,NQb1H4dTmJ892vDc,10,28,0,False,,,2,boots;wrist,"Farstrider's Razor Talons (244577, 285);Farstrider's Plated Bracers (244584, 285)",True,76,35,72,0,,,2,"Farstrider's Razor Talons (244577, 285);Farstrider's Plated Bracers (244584, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Primal Sentry's Cinch (249985, 289)","Farstrider's Razor Talons (244577, 285)","Farstrider's Plated Bracers (244584, 285)","Shroud of the Soulhunter (251161, 289)","Bond of Light (249369, 289)","Eye of Midnight (249920, 289)",arcanoweave_2x,249988;250247;249318;249991;249985;249987;244577;244584;249989;249369;249920;249343;249806;251161;249288
81,Limhynt,Unwealthy Homeless Men,Twisting Nether,EU,155302.96369631,290.0,550.495,764,740,1122,266,3Kn7FR1qzJYg6VdA,7,13,2,True,belt;boots,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",0,,,False,0,0,7,0,,,2,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Scaled Commencement Spaulders (193704, 289)","World Tender's Barkclasp (244611, 285)","World Tender's Rootslippers (244610, 285)","Amberfrond Bracers (251079, 289)","Potion-Stained Cloak (193712, 289)","Eye of Midnight (249920, 289)","Platinum Star Band (193708, 289)",world_tender_2p,249988;250247;193704;249991;244611;249987;244610;251079;249989;249920;193708;193701;249343;193712;249279
82,아내다애,유랑단,아즈샤라,KR,155192.00169244,291.0,529.412,942,747,986,52,1NAM72vhJ6KXrFWm,12,23,2,True,belt;boots,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",0,,,False,0,0,31,0,,,2,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Scaled Commencement Spaulders (193704, 289)","World Tender's Barkclasp (244611, 285)","World Tender's Rootslippers (244610, 285)","Fallen King's Cuffs (249304, 289)","Draconic Nullcape (249370, 289)","Platinum Star Band (193708, 289)","Bond of Light (249369, 289)",world_tender_2p,249988;249337;193704;249991;244611;249987;244610;249304;249989;193708;249369;193701;249343;249370;249279
83,番茄玉米鱼片,,凤凰之神,CN,155144.93835032,290.0,580.295,983,529,1411,32,BF7MnCzrky3h4bP6,60,593,0,False,,,0,,,False,0,0,14,1,neck,"Masterwork Sin'dorei Amulet (240950, 285)",2,"Loa Worshiper's Band (251513, 285);P.O.W. x3 (268477, 295)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Scornbane Waistguard (249371, 289)","Darkstrider Treads (249377, 289)","Fallen King's Cuffs (249304, 289)","Imperator's Banner (249335, 289)","Loa Worshiper's Band (251513, 285)","Bond of Light (249369, 289)",other_or_unclassified,249988;240950;249318;249991;249371;249987;249377;249304;249989;251513;249369;249806;249343;249335;268477
84,灬曲无忆,,燃烧之刃,CN,155095.05235749,292.0,569.928,1023,582,1149,0,2JdbfFwgaH4p69Ky,165,2273,0,False,,,2,wrist;back,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",True,70,35,48,2,wrist;back,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",2,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Spaulders of Arrow's Flight (251097, 289)","Primal Sentry's Cinch (249985, 289)","Primal Sentry's Swiftsteps (249990, 298)","Farstrider's Plated Bracers (244584, 285)","Adherent's Silken Shroud (239656, 285)","Bifurcation Band (251115, 289)","Platinum Star Band (193708, 289)",arcanoweave_2x,249988;268291;251097;138385;249991;249985;249987;249990;244584;249989;251115;193708;249343;193701;239656;251174
86,因风飞过蔷薇,,血色十字军,CN,154994.58897059,290.0,545.922,609,774,1634,0,nBPm42r1YkRKhyqW,33,251,0,False,,,2,wrist;back,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",True,76,34,59,2,wrist;back,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",2,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Scornbane Waistguard (249371, 289)","Primal Sentry's Swiftsteps (249990, 289)","Farstrider's Plated Bracers (244584, 285)","Adherent's Silken Shroud (239656, 285)","Sporecaller's Blooming Loop (268290, 298)","Bond of Light (249369, 289)",arcanoweave_2x,249988;250247;249318;268274;249991;249371;249987;249990;244584;249989;268290;249369;249806;249343;239656;249279
87,豆乳米麻薯丶,小 法 狮,伊森利恩,CN,154970.68747698,290.0,567.539,1055,779,1110,41,Kv1GqgDVzb8WPk7M,121,755,0,False,,,2,wrist;back,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",True,69,33,68,1,wrist,"Farstrider's Plated Bracers (244584, 285)",2,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",5,head;shoulder;chest;legs;hands,True,True,"Primal Sentry's Scaleplate (249991, 289)","Primal Sentry's Trophies (249986, 289)","Primal Sentry's Cinch (249985, 289)","Primal Sentry's Swiftsteps (249990, 289)","Farstrider's Plated Bracers (244584, 285)","Adherent's Silken Shroud (239656, 285)","Masterwork Sin'dorei Band (240949, 285)","Sin'dorei Band of Hope (249919, 289)",arcanoweave_2x,249988;240950;249986;268274;249991;249985;249987;249990;244584;249989;240949;249919;249343;249806;239656;249279
89,芊芊丶绿雪,小 法 狮,国王之谷,CN,154935.76066509,290.0,576.765,978,809,1247,0,4yhwrVa3MJKfWpBN,94,16,0,False,,,2,boots;wrist,"Farstrider's Razor Talons (244577, 285);Farstrider's Plated Bracers (244584, 285)",True,58,31,51,2,boots;ring2,"Farstrider's Razor Talons (244577, 285);Masterwork Sin'dorei Band (240949, 285)",2,"Farstrider's Razor Talons (244577, 285);Farstrider's Plated Bracers (244584, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Primal Sentry's Cinch (249985, 289)","Farstrider's Razor Talons (244577, 285)","Farstrider's Plated Bracers (244584, 285)","Draconic Nullcape (249370, 289)","Eye of Midnight (249920, 289)","Masterwork Sin'dorei Band (240949, 285)",arcanoweave_2x,249988;250247;249318;249991;249985;249987;244577;244584;249989;249920;240949;249343;249806;249370;249279
90,林花谢春红,,加基森,CN,154911.33439034,291.0,553.766,662,786,1614,0,nBPm42r1YkRKhyqW,11,15,0,False,,,1,belt,"Farstrider's Trophy Belt (244581, 285)",True,65,29,62,1,belt,"Farstrider's Trophy Belt (244581, 285)",1,"Farstrider's Trophy Belt (244581, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Farstrider's Trophy Belt (244581, 285)","Primal Sentry's Swiftsteps (249990, 289)","Fallen King's Cuffs (249304, 289)","Defiant Defender's Drape (260312, 289)","Eye of Midnight (249920, 289)","Bond of Light (249369, 289)",arcanoweave_1x_or_mixed,249988;250247;249318;249991;244581;249987;249990;249304;249989;249920;249369;249806;249343;260312;249279
91,최진이정유미,최진이,아즈샤라,KR,154908.43952107,290.0,545.967,603,790,1536,118,pTXvcA9JFdhCjb2f,47,1,2,True,belt;boots,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",0,,,False,0,0,25,0,,,2,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","World Tender's Barkclasp (244611, 285)","World Tender's Rootslippers (244610, 285)","Fallen King's Cuffs (249304, 289)","Cloak of the Fallen Cardinal (49823, 289)","Eye of Midnight (249920, 289)","Bond of Light (249369, 289)",world_tender_2p,249988;250247;249318;268274;249991;244611;249987;244610;249304;249989;249920;249369;249806;249343;49823;249279;118372
92,Shóot,Who Asked,Draenor,EU,154890.26292707,290.0,509.609,728,689,1255,84,4NfJyG97PXwrjHCv,40,16,2,True,belt;boots,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",0,,,False,0,0,33,0,,,2,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Scaled Commencement Spaulders (193704, 289)","World Tender's Barkclasp (244611, 285)","World Tender's Rootslippers (244610, 285)","Fallen King's Cuffs (249304, 289)","Imperator's Banner (249335, 289)","Bond of Light (249369, 289)","Eye of Midnight (249920, 289)",world_tender_2p,249988;250247;193704;268274;249991;244611;249987;244610;249304;249989;249369;249920;193701;249343;249335;249288;172652
93,饭饭究极好吃,B L C,凤凰之神,CN,154641.45038141,289.0,565.534,720,568,1422,0,GMTnvfhVNjJ1yrYw,18,4,0,False,,,1,wrist,"Farstrider's Plated Bracers (244584, 285)",True,51,26,51,1,wrist,"Farstrider's Plated Bracers (244584, 285)",2,"Farstrider's Plated Bracers (244584, 285);Loa Worshiper's Band (251513, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Scaled Commencement Spaulders (193704, 289)","Scornbane Waistguard (249371, 289)","Primal Sentry's Swiftsteps (249990, 289)","Farstrider's Plated Bracers (244584, 285)","Draconic Nullcape (249370, 289)","Bond of Light (249369, 289)","Loa Worshiper's Band (251513, 285)",arcanoweave_1x_or_mixed,249988;250247;193704;249991;249371;249987;249990;244584;249989;249369;251513;193701;249343;249370;249279
94,Zyraní,NonSense,Eredar,EU,154396.89852813,290.0,536.326,574,822,1304,52,typ8hAJ3DV9Zrfwk,40,21,2,True,belt;boots,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",0,,,False,0,0,33,0,,,2,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","World Tender's Barkclasp (244611, 285)","World Tender's Rootslippers (244610, 285)","Fallen King's Cuffs (249304, 289)","Draconic Nullcape (249370, 289)","Eye of Midnight (249920, 289)","Bond of Light (249369, 289)",world_tender_2p,249988;250247;249318;52019;249991;244611;249987;244610;249304;249989;249920;249369;193701;249343;249370;249279;69210
96,肆箭灬,,埃德萨拉,CN,154364.12548133,290.0,566.14,1065,575,1158,52,fGtNrVp8PFkRw7Wx,109,1521,2,True,belt;boots,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",0,,,False,0,0,21,0,,,2,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","World Tender's Barkclasp (244611, 285)","World Tender's Rootslippers (244610, 285)","Fallen King's Cuffs (249304, 289)","Draconic Nullcape (249370, 289)","Bond of Light (249369, 289)","Sin'dorei Band of Hope (249919, 289)",world_tender_2p,249988;249337;249318;249991;244611;249987;244610;249304;249989;249369;249919;249806;193701;249370;249279
